iter	Precision_SumError	Precision_SumWeight
0	702	720
1	700	712
2	739	758
3	712	731
4	724	747
5	728	746
6	746	766
7	737	753
8	743	760
9	739	759
10	741	761
11	737	755
12	747	765
13	746	764
14	746	761
15	745	760
16	749	765
17	749	764
18	750	765
19	751	766
20	751	768
21	749	766
22	750	767
23	753	770
24	754	771
25	754	771
26	751	768
27	753	768
28	752	767
29	752	767
30	750	764
31	749	763
32	748	764
33	749	763
34	755	769
35	756	770
36	754	768
37	754	768
38	753	766
39	752	765
40	752	765
41	751	765
42	750	764
43	752	766
44	750	763
45	751	764
46	750	763
47	751	764
48	752	766
49	752	765
50	752	765
51	753	766
52	755	768
53	753	766
54	754	767
55	754	767
56	758	771
57	757	770
58	759	772
59	760	773
60	764	777
